x,y
53.56,-30.06
33.17,-17.44
22.81,-11.63
-15.23,6.99
-4.62,2.18
-19.58,8.87
-23.15,10.4
4.33,-2.09
-19.16,8.68
263.8,-547.84
258.56,-511.14
261.55,-532.24
256.42,-494.79
249.98,-452.86
257.94,-502.45
250.49,-452.06
261.25,-518.17
257.84,-492.91
256.6,-482.82
259.5,-499.43
262,-516.72
262.13,-518.49
265.92,-547.14
267.29,-561.23
271.39,-593.24
271.3,-592.23
275.29,-623.75
275.58,-621.29
275.58,-621.29
270.26,-573.92
277.45,-636.76
275.01,-616.08
274.98,-616.92
274.7,-614.77
277.58,-641.28
279.06,-653.77
283.36,-697.09
278.26,-645.72
274.25,-607.41
283.5,-696.79
279.91,-656.43
281.03,-667.98
272.55,-589.63
273.78,-600.08
277.14,-631.73
281.78,-678.07
279.31,-651.7
277.87,-636.39
272.95,-591.69
276.15,-619.53
276.25,-622.53
277.92,-637.97
270.19,-569
270.13,-569.92
270.74,-574.31
271.43,-578.67
267.09,-543.59
268.43,-554.12
269.92,-564.82
269.32,-560.69
265.54,-532.3
312.06,-1456.08
310.68,-1410.98
363.84,1953.02
380.64,1428.34
380.97,1413.35
374.74,1558.7
375.31,1545.92
367.19,1914.79
361.52,2206.97
364.1,2081.51
365.77,2007.79
365.51,2015.44
368.28,1872.19
371.09,1763.78
365.99,1966.31
364.6,2025.58
368.38,1856.54
371.73,1726.08
371.88,1727.62
371.92,1667.45
364.63,1958.96
364.01,1969.91
369.78,1738.34
369.11,1758.62
370.46,1720.12
376.97,1534.46
373.54,1632.68
371.09,1713.62
370.2,1777.84
370.96,1746.99
363.63,2059.58
369.22,1818.25
364.56,2024.6
371.11,1757.97
376.95,1577.12
370.75,1762.63
371.97,1711.61
366.58,1927.97
372.5,1719.33
369.56,1822.28
367.12,1921.47
363.35,2089.14
371.12,1758.47
365.96,1966.82
363.17,2102.46
362.61,2126.78
358.38,2386.57
359.12,2338.79
355.46,2614.4
365.11,2005.2
359.77,2317.32
366.62,1948.12
365.61,1980.6
367.58,1900.12
358.75,2354.44
368.24,1864.57
364.47,2019.46
371.52,1736.02
367.27,1895.82
365.72,1985.06
299.95,-2379.79
306.42,-1959.81
301.92,10727.06
401.48,720.93
426.89,630.87
427.87,625.98
425.69,632.97
428.95,625.31
425.75,633.6
433.64,611.57
423.62,639.81
425.37,634.17
431.75,615.9
428.16,628.98
418.9,654.29
420.93,647.55
420.74,647.74
419.2,653.1
431.72,616.3
427.36,626.6
419.08,650.55
422.14,641.65
425.5,632.59
421.63,643.31
422.92,639.63
416.98,656.85
413.48,669.69
421.88,643.04
415.79,662.67
411.49,675.38
414.8,664.73
418.54,651.65
418.94,652.46
417.05,657.75
416.92,658.36
415.79,661.8
422.45,640.83
412.03,670.53
416.09,658.38
414.08,665.74
415.66,659.44
415.26,659.85
415.52,659.55
418.55,649.51
422.56,635.17
418.22,648.89
420.72,641.7
425.9,625.41
417.05,651.41
418.47,648.72
427.28,622.86
424.43,630.64
423.98,632.39
422.82,634.23
417.82,650.11
416.13,654.09
418.12,648.26
417.23,652.01
420,642.97
414.83,659.75
422.84,635.78
419.03,649.12
422.56,638.85
419.49,645.8
424.88,630.4
417.06,654.94
424.03,633.2
421.55,641.34
421.99,639.75
422.96,636.92
420.03,646.58
421.36,643.09
421.59,639.95
425.44,629.4
426.61,625.9
425.31,630.2
424.26,634.55
424.62,632.85
420.67,643.39
414.35,613.43
312.88,1719.94
313.38,1713.44
328.16,1265.33
407.71,573.87
553.83,361.2
560.04,357.13
560.85,357.23
579.04,346.06
562.55,355.57
562.23,355.27
574.54,348.24
560.58,357
556.86,359.56
543.38,368.75
561.77,356.19
557.13,359.33
538.92,371.31
557.8,358.89
557.8,358.89
538.13,372.28
554.6,361.18
536.59,373.72
544.49,367.04
540.67,368.35
538.53,369.96
532.21,375.39
535.99,372.65
528.54,378.47
523.94,381.64
513.56,390.63
527.65,379.34
527.89,379.21
530.05,378.24
514.69,391.53
528.16,380.57
532.5,376.86
541.83,369.22
535.27,373.75
549.24,363.64
542.15,369.31
540.86,370.31
545.83,366.96
548.6,364.94
548.38,365.27
556.1,360.2
547.33,366.13
526.69,381.66
523.83,384.05
540.06,371.75
537.5,373.7
541.1,371.01
536.68,374.44
540.69,371.5
544.96,367.95
559.65,357.75
547.61,365.6
